N,merge_worst,merge_avg,merge_best,heap_worst,heap_avg,heap_best
50000,0.103141056,0.113154871,0.102138018,0.052901602,0.056291231,0.058949679
50000,0.103512306,0.112575083,0.101673121,0.052929821,0.056647185,0.056982374
50000,0.103987262,0.112324638,0.102218902,0.052891205,0.056370382,0.057249776
50000,0.103723734,0.112691695,0.101169004,0.053073855,0.056355563,0.057042198
50000,0.103557500,0.112669860,0.102217801,0.053168385,0.056752752,0.057635236
50000,0.105063036,0.113059288,0.101678964,0.053062407,0.056255294,0.057316984
50000,0.103289981,0.111913607,0.101717902,0.052950667,0.056311955,0.057214178
50000,0.103685662,0.112102647,0.102138678,0.052952059,0.056381583,0.057114493
50000,0.103841067,0.112786970,0.102312290,0.052993226,0.056776951,0.057159937
50000,0.103228781,0.112733145,0.102097096,0.052898057,0.056319503,0.057114622
50000,0.103570533,0.113099482,0.102173028,0.053110464,0.056385505,0.057187923
100000,0.212179366,0.230353428,0.208251843,0.113990167,0.126245662,0.123552375
100000,0.211220841,0.230477456,0.208693423,0.114491827,0.121141044,0.122594728
100000,0.210474119,0.230729139,0.209194582,0.114298436,0.121943636,0.122641676
100000,0.211500336,0.230909851,0.208621818,0.114321868,0.121272309,0.122607771
100000,0.211761370,0.230319943,0.208788587,0.114089187,0.120983563,0.122606810
100000,0.211058885,0.230172116,0.208663382,0.114135479,0.121028118,0.122431453
100000,0.211536743,0.229533029,0.208282181,0.114423306,0.121106622,0.122654689
100000,0.210340847,0.230850909,0.208346715,0.114481661,0.121256646,0.122818960
100000,0.210994552,0.230537263,0.207757658,0.113870143,0.121567652,0.122765789
100000,0.213977768,0.230888579,0.208097213,0.114050839,0.121057224,0.122548654
100000,0.211250027,0.230527826,0.208207364,0.114022054,0.121220893,0.122400991
100000,0.212019561,0.231075948,0.208886841,0.114086121,0.121283691,0.122728589
100000,0.212069517,0.230461193,0.208259772,0.114363108,0.121296147,0.122817691
100000,0.211836032,0.230036160,0.207748118,0.114036387,0.121157497,0.122549486
100000,0.211374739,0.232236042,0.209154682,0.114075816,0.121417891,0.122612910
100000,0.211475991,0.230713764,0.208234206,0.113961565,0.121067722,0.122431314
100000,0.210880431,0.235366245,0.208000389,0.114459787,0.121261066,0.123148718
100000,0.211454643,0.232609903,0.207771655,0.114171869,0.121279075,0.122635713
100000,0.211025239,0.230502179,0.208177450,0.114114611,0.121177908,0.123125991
100000,0.211882480,0.231298463,0.208236921,0.113993344,0.120989758,0.122765017
100000,0.211912741,0.230530402,0.208383924,0.114064645,0.121224285,0.122426002
100000,0.211648306,0.230655525,0.208643492,0.114219304,0.121189993,0.122780579
100000,0.211364613,0.231685960,0.208607180,0.114187542,0.121299961,0.122655557
100000,0.211422946,0.230394903,0.208082995,0.114135905,0.121082141,0.122457625
100000,0.211784965,0.231348300,0.209140511,0.115140551,0.121188790,0.122706397
250000,0.526047203,0.581117622,0.518681759,0.312342677,0.331267962,0.332289295
250000,0.525374801,0.579363267,0.518728338,0.312344083,0.331119617,0.332108700
250000,0.525198431,0.578733314,0.520790395,0.312830980,0.330391428,0.331806742
250000,0.525345708,0.578396498,0.519489611,0.312219359,0.330474780,0.332140018
250000,0.524768411,0.577765969,0.518239829,0.312011846,0.330226902,0.331725696
250000,0.524002278,0.579208142,0.518244599,0.312458265,0.331248219,0.332152918
250000,0.526585630,0.578054520,0.517451098,0.311946551,0.331065333,0.332423069
250000,0.527212626,0.577607741,0.520784458,0.312693553,0.331254960,0.332073929
250000,0.527978129,0.578488489,0.517910386,0.312199458,0.331191446,0.332212349
250000,0.526029568,0.579941487,0.518424972,0.313263891,0.330574983,0.332248416
